title,category,publish_date,article_url
Tanda Tanya Pihak Korban Tabrak Lari di Cakung: Kecelakaan atau Disengaja,detikNews, 15 Jun 2023 19:48 WIB,https://news.detik.com/berita/d-6775095/tanda-tanya-pihak-korban-tabrak-lari-di-cakung-kecelakaan-atau-disengaja
Cerita Warga Tak Kuat Bau Menyengat Tumpukan Sampah di Permukiman Padat Bogor,detikNews, 15 Jun 2023 19:47 WIB,https://news.detik.com/berita/d-6775098/cerita-warga-tak-kuat-bau-menyengat-tumpukan-sampah-di-permukiman-padat-bogor
Ular Tikus Raja Masuk Sumur Rumah Warga di Bogor,detikNews, 15 Jun 2023 19:33 WIB,https://news.detik.com/berita/d-6775076/ular-tikus-raja-masuk-sumur-rumah-warga-di-bogor
Bejat! Perampok Perkosa SPG saat Mobil Melaju Sambil Setel Musik Kencang,detikNews, 15 Jun 2023 19:26 WIB,https://news.detik.com/berita/d-6775056/bejat-perampok-perkosa-spg-saat-mobil-melaju-sambil-setel-musik-kencang
Waket DPW Jateng Sambut Baik Gabungnya Sejumlah Kader NU Tegal ke PPP,detikNews, 15 Jun 2023 19:21 WIB,https://news.detik.com/pemilu/d-6775043/waket-dpw-jateng-sambut-baik-gabungnya-sejumlah-kader-nu-tegal-ke-ppp
Apakah Tarif Bus TransJ ke Soetta Nantinya Rp 3.500 Juga?,detikNews, 15 Jun 2023 19:20 WIB,https://news.detik.com/berita/d-6775040/apakah-tarif-bus-transj-ke-soetta-nantinya-rp-3500-juga
Penampakan Penuhnya Peron Stasiun Sudirman di Jam Pulang Kantor,detikNews, 15 Jun 2023 19:17 WIB,https://news.detik.com/berita/d-6775032/penampakan-penuhnya-peron-stasiun-sudirman-di-jam-pulang-kantor
38 Motor Parkir di Trotoar Jalan Margonda Depok Digembosi,detikNews, 15 Jun 2023 19:16 WIB,https://news.detik.com/berita/d-6775020/38-motor-parkir-di-trotoar-jalan-margonda-depok-digembosi
KPU Pertanyakan Sumber Data 52 Juta DPS yang Tak Wajar,detikNews, 15 Jun 2023 19:14 WIB,https://news.detik.com/berita/d-6775016/kpu-pertanyakan-sumber-data-52-juta-dps-yang-tak-wajar
SBY Bersyukur Pemilu Tetap Coblos Gambar Caleg: Terima Kasih MK,detikNews, 15 Jun 2023 19:04 WIB,https://news.detik.com/pemilu/d-6775008/sby-bersyukur-pemilu-tetap-coblos-gambar-caleg-terima-kasih-mk
Luhut: Jangan Gunakan TikTok untuk Politik Kampungan,detikNews, 15 Jun 2023 19:00 WIB,https://news.detik.com/detiktv/d-6774990/luhut-jangan-gunakan-tiktok-untuk-politik-kampungan
Kejagung Tetapkan 3 Perusahaan Minyak Sawit Tersangka Korupsi Migor,detikNews, 15 Jun 2023 19:00 WIB,https://news.detik.com/detiktv/d-6774989/kejagung-tetapkan-3-perusahaan-minyak-sawit-tersangka-korupsi-migor
"10 Tersangka Korupsi Tukin ESDM Diduga Mark Up Dana Rp 1,3 M Jadi Rp 29 M",detikNews, 15 Jun 2023 19:00 WIB,https://news.detik.com/berita/d-6774988/10-tersangka-korupsi-tukin-esdm-diduga-mark-up-dana-rp-13-m-jadi-rp-29-m
"BMKG: Prakiraan Cuaca Besok 16 Juni 2023 Jakarta, Cek di Sini",detikNews, 15 Jun 2023 19:00 WIB,https://news.detik.com/berita/d-6774772/bmkg-prakiraan-cuaca-besok-16-juni-2023-jakarta-cek-di-sini
